,sequences,sequence_tok
8568,"According to the notice , the temporary closure places include closed spaces such as singing and dance entertainment ( KTV ) , Internet service , indoor swimming pool , reef bar , Double Moon Bay observation deck , turtle bay tourist area , ocean ranch , Delta Island , Kaohu Yang Wetland Park , Black Pai Cape Geopark , Yongkee Ecological Park and other scenic spots .","['According', 'to', 'the', 'notice', ',', 'the', 'temporary', 'closure', 'places', 'include', 'closed', 'spaces', 'such', 'as', 'singing', 'and', 'dance', 'entertainment', '(', 'KTV', ')', ',', 'Internet', 'service', ',', 'indoor', 'swimming', 'pool', ',', 'reef', 'bar', ',', 'Double', 'Moon', 'Bay', 'observation', 'deck', ',', 'turtle', 'bay', 'tourist', 'area', ',', 'ocean', 'ranch', ',', 'Delta', 'Island', ',', 'Kaohu', 'Yang', 'Wetland', 'Park', ',', 'Black', 'Pai', 'Cape', 'Geopark', ',', 'Yongkee', 'Ecological', 'Park', 'and', 'other', 'scenic', 'spots', '.']"
8569,"For those cities with local transmission of the epidemic , which have not yet been assigned a risk level , reference is made to the management of the cities where the risk is located . A nucleic acid test is recommended for all visiting ( returning ) heads of foreign provinces .","['For', 'those', 'cities', 'with', 'local', 'transmission', 'of', 'the', 'epidemic', ',', 'which', 'have', 'not', 'yet', 'been', 'assigned', 'a', 'risk', 'level', ',', 'reference', 'is', 'made', 'to', 'the', 'management', 'of', 'the', 'cities', 'where', 'the', 'risk', 'is', 'located', '.', 'A', 'nucleic', 'acid', 'test', 'is', 'recommended', 'for', 'all', 'visiting', '(', 'returning', ')', 'heads', 'of', 'foreign', 'provinces', '.']"
8570,"Listed as the medium - risk areas are Biyue Village , Datong Street Guzhuang Dingbuan Lane , Xiangping Street Fenggang Community , Xiangping Street Zhai Community , Xiangping Street Xihu Community Hill Pingli , and Wuxian Town Butang Village Mei'an Lane .","['Listed', 'as', 'the', 'medium', '-', 'risk', 'areas', 'are', 'Biyue', 'Village', ',', 'Datong', 'Street', 'Guzhuang', 'Dingbuan', 'Lane', ',', 'Xiangping', 'Street', 'Fenggang', 'Community', ',', 'Xiangping', 'Street', 'Zhai', 'Community', ',', 'Xiangping', 'Street', 'Xihu', 'Community', 'Hill', 'Pingli', ',', 'and', 'Wuxian', 'Town', 'Butang', 'Village', ""Mei'an"", 'Lane', '.']"
8571,"In early August , there were imported new crown pneumonia associated cases in Hubei .","['In', 'early', 'August', ',', 'there', 'were', 'imported', 'new', 'crown', 'pneumonia', 'associated', 'cases', 'in', 'Hubei', '.']"
8572,"After receiving the information , community workers immediately went to the door to carry out nucleic acid tests , thus gaining time for timely control of the epidemic .","['After', 'receiving', 'the', 'information', ',', 'community', 'workers', 'immediately', 'went', 'to', 'the', 'door', 'to', 'carry', 'out', 'nucleic', 'acid', 'tests', ',', 'thus', 'gaining', 'time', 'for', 'timely', 'control', 'of', 'the', 'epidemic', '.']"
8573,"Currently , all those who have come into contact with the infected are isolated . A case of measles was reported at Fort McCoy Army Base in Wisconsin . A senior United States Government official confirmed that a case of measles was detected during a health screening process .","['Currently', ',', 'all', 'those', 'who', 'have', 'come', 'into', 'contact', 'with', 'the', 'infected', 'are', 'isolated', '.', 'A', 'case', 'of', 'measles', 'was', 'reported', 'at', 'Fort', 'McCoy', 'Army', 'Base', 'in', 'Wisconsin', '.', 'A', 'senior', 'United', 'States', 'Government', 'official', 'confirmed', 'that', 'a', 'case', 'of', 'measles', 'was', 'detected', 'during', 'a', 'health', 'screening', 'process', '.']"
8574,"Manila , July 24 ( Reporter Guan Xiangdong ) On July 24 local time , the Philippine Ministry of Health reported that 17 cases of the new crown variant virus Delta were discovered in the country , with a cumulative total of 64 cases of Delta infection confirmed .","['Manila', ',', 'July', '24', '(', 'Reporter', 'Guan', 'Xiangdong', ')', 'On', 'July', '24', 'local', 'time', ',', 'the', 'Philippine', 'Ministry', 'of', 'Health', 'reported', 'that', '17', 'cases', 'of', 'the', 'new', 'crown', 'variant', 'virus', 'Delta', 'were', 'discovered', 'in', 'the', 'country', ',', 'with', 'a', 'cumulative', 'total', 'of', '64', 'cases', 'of', 'Delta', 'infection', 'confirmed', '.']"
8575,"As the spread of the mutated strains increases , so does the admission rate , with the number of people admitted to treatment for new crown infections doubling over the past 20 days .","['As', 'the', 'spread', 'of', 'the', 'mutated', 'strains', 'increases', ',', 'so', 'does', 'the', 'admission', 'rate', ',', 'with', 'the', 'number', 'of', 'people', 'admitted', 'to', 'treatment', 'for', 'new', 'crown', 'infections', 'doubling', 'over', 'the', 'past', '20', 'days', '.']"
8576,Five confirmed patients met the discharge criteria and three were moved from the medium - risk zone to the low - risk zone .,"['Five', 'confirmed', 'patients', 'met', 'the', 'discharge', 'criteria', 'and', 'three', 'were', 'moved', 'from', 'the', 'medium', '-', 'risk', 'zone', 'to', 'the', 'low', '-', 'risk', 'zone', '.']"
8577,"According to data from the health department of Krabi Province , the number of confirmed cases of new crown pneumonia in the region has recently increased , and there are also imported cases from foreign provinces .","['According', 'to', 'data', 'from', 'the', 'health', 'department', 'of', 'Krabi', 'Province', ',', 'the', 'number', 'of', 'confirmed', 'cases', 'of', 'new', 'crown', 'pneumonia', 'in', 'the', 'region', 'has', 'recently', 'increased', ',', 'and', 'there', 'are', 'also', 'imported', 'cases', 'from', 'foreign', 'provinces', '.']"
8578,"Harvey received a certain amount of federal rent assistance through an aid project , but the money has not been forthcoming .","['Harvey', 'received', 'a', 'certain', 'amount', 'of', 'federal', 'rent', 'assistance', 'through', 'an', 'aid', 'project', ',', 'but', 'the', 'money', 'has', 'not', 'been', 'forthcoming', '.']"
8579,"According to his introduction , the Hongqiao community has a permanent population of more than 30 thousand people .","['According', 'to', 'his', 'introduction', ',', 'the', 'Hongqiao', 'community', 'has', 'a', 'permanent', 'population', 'of', 'more', 'than', '30', 'thousand', 'people', '.']"
8580,"With the case family as its origin , the test was conducted according to the risk level .","['With', 'the', 'case', 'family', 'as', 'its', 'origin', ',', 'the', 'test', 'was', 'conducted', 'according', 'to', 'the', 'risk', 'level', '.']"
8581,"In places such as Yangon , the initial relief of the epidemic has led to a decrease in local demand for oxygen , a significant decrease in prices and a significant decrease in the number of people queuing for oxygen filling .","['In', 'places', 'such', 'as', 'Yangon', ',', 'the', 'initial', 'relief', 'of', 'the', 'epidemic', 'has', 'led', 'to', 'a', 'decrease', 'in', 'local', 'demand', 'for', 'oxygen', ',', 'a', 'significant', 'decrease', 'in', 'prices', 'and', 'a', 'significant', 'decrease', 'in', 'the', 'number', 'of', 'people', 'queuing', 'for', 'oxygen', 'filling', '.']"
8582,"Basic Case : Male , aged 7 , of Burmese nationality , currently living in a group of Daizang villagers in Jidong Village , Mengmao Town , Ruili City , approximately 600 meters from the border .","['Basic', 'Case', ':', 'Male', ',', 'aged', '7', ',', 'of', 'Burmese', 'nationality', ',', 'currently', 'living', 'in', 'a', 'group', 'of', 'Daizang', 'villagers', 'in', 'Jidong', 'Village', ',', 'Mengmao', 'Town', ',', 'Ruili', 'City', ',', 'approximately', '600', 'meters', 'from', 'the', 'border', '.']"
8583,Confirmed cases have been reported in three places throughout the country .,"['Confirmed', 'cases', 'have', 'been', 'reported', 'in', 'three', 'places', 'throughout', 'the', 'country', '.']"
8584,5 cases of diagnosed cases treated and discharged ( imported ) .,"['5', 'cases', 'of', 'diagnosed', 'cases', 'treated', 'and', 'discharged', '(', 'imported', ')', '.']"
8585,"Currently , nucleic acid tests are negative for medical care , workers , and so on in isolation .","['Currently', ',', 'nucleic', 'acid', 'tests', 'are', 'negative', 'for', 'medical', 'care', ',', 'workers', ',', 'and', 'so', 'on', 'in', 'isolation', '.']"
8586,The emergence of the epidemic has been a cause for concern .,"['The', 'emergence', 'of', 'the', 'epidemic', 'has', 'been', 'a', 'cause', 'for', 'concern', '.']"
8587,"From July 31 to August 1 , the three individuals were successively collected as close contacts for the confirmed cases Central isolation management followed by diagnosis .","['From', 'July', '31', 'to', 'August', '1', ',', 'the', 'three', 'individuals', 'were', 'successively', 'collected', 'as', 'close', 'contacts', 'for', 'the', 'confirmed', 'cases', 'Central', 'isolation', 'management', 'followed', 'by', 'diagnosis', '.']"
8588,Reuters reported on August 3 that the Japanese government issued a warning on August 2 to name and criticize those who did not comply with the regulations .,"['Reuters', 'reported', 'on', 'August', '3', 'that', 'the', 'Japanese', 'government', 'issued', 'a', 'warning', 'on', 'August', '2', 'to', 'name', 'and', 'criticize', 'those', 'who', 'did', 'not', 'comply', 'with', 'the', 'regulations', '.']"
8589,July 18 left home .,"['July', '18', 'left', 'home', '.']"
8590,"In accordance with the principle of "" who organizes and who is responsible , "" strict enforcement of preventive and control measures such as personnel inspection and inspection is carried out .","['In', 'accordance', 'with', 'the', 'principle', 'of', '""', 'who', 'organizes', 'and', 'who', 'is', 'responsible', ',', '""', 'strict', 'enforcement', 'of', 'preventive', 'and', 'control', 'measures', 'such', 'as', 'personnel', 'inspection', 'and', 'inspection', 'is', 'carried', 'out', '.']"
8591,"Joe Farra said the vaccination program , which was originally scheduled to begin on September 1 this year for residents between the ages of 18 and 35 , is ahead of schedule this weekend .","['Joe', 'Farra', 'said', 'the', 'vaccination', 'program', ',', 'which', 'was', 'originally', 'scheduled', 'to', 'begin', 'on', 'September', '1', 'this', 'year', 'for', 'residents', 'between', 'the', 'ages', 'of', '18', 'and', '35', ',', 'is', 'ahead', 'of', 'schedule', 'this', 'weekend', '.']"
8592,There have been 485 confirmed cases in the mainland !,"['There', 'have', 'been', '485', 'confirmed', 'cases', 'in', 'the', 'mainland', '!']"
8593,"Overseas Import Related Native Sexed Infections 17 : Mr . Chen , a Chinese national , aged 10 , is a primary school student in Shoutou .","['Overseas', 'Import', 'Related', 'Native', 'Sexed', 'Infections', '17', ':', 'Mr', '.', 'Chen', ',', 'a', 'Chinese', 'national', ',', 'aged', '10', ',', 'is', 'a', 'primary', 'school', 'student', 'in', 'Shoutou', '.']"
8594,"In the past 24 hours , the US Department of Health announced on August 18 that it would launch a new crown vaccine intensive vaccination program in the fall .","['In', 'the', 'past', '24', 'hours', ',', 'the', 'US', 'Department', 'of', 'Health', 'announced', 'on', 'August', '18', 'that', 'it', 'would', 'launch', 'a', 'new', 'crown', 'vaccine', 'intensive', 'vaccination', 'program', 'in', 'the', 'fall', '.']"
8595,"Pang Xinghou said that according to the preliminary analysis of this round of the epidemic in the city and the situation of many infected people reported by other provinces and cities , the risk of contracting the new crown virus has increased due to the movement and concentration of people , especially during summer trips and the same - ride transportation .","['Pang', 'Xinghou', 'said', 'that', 'according', 'to', 'the', 'preliminary', 'analysis', 'of', 'this', 'round', 'of', 'the', 'epidemic', 'in', 'the', 'city', 'and', 'the', 'situation', 'of', 'many', 'infected', 'people', 'reported', 'by', 'other', 'provinces', 'and', 'cities', ',', 'the', 'risk', 'of', 'contracting', 'the', 'new', 'crown', 'virus', 'has', 'increased', 'due', 'to', 'the', 'movement', 'and', 'concentration', 'of', 'people', ',', 'especially', 'during', 'summer', 'trips', 'and', 'the', 'same', '-', 'ride', 'transportation', '.']"
8596,"Under the current situation where the overseas epidemic is still serious and the pressure of foreign defense and import still persists , our citizens must not relax their vigilance and relax their personal protection .","['Under', 'the', 'current', 'situation', 'where', 'the', 'overseas', 'epidemic', 'is', 'still', 'serious', 'and', 'the', 'pressure', 'of', 'foreign', 'defense', 'and', 'import', 'still', 'persists', ',', 'our', 'citizens', 'must', 'not', 'relax', 'their', 'vigilance', 'and', 'relax', 'their', 'personal', 'protection', '.']"
8597,"Case 79 : Mr . Qi , female , aged 27 , currently living in Xinmin Town , Tongan District .","['Case', '79', ':', 'Mr', '.', 'Qi', ',', 'female', ',', 'aged', '27', ',', 'currently', 'living', 'in', 'Xinmin', 'Town', ',', 'Tongan', 'District', '.']"
8598,"Since the second half of 2019 , some public health incidents in the United States have been fraught with suspicion .","['Since', 'the', 'second', 'half', 'of', '2019', ',', 'some', 'public', 'health', 'incidents', 'in', 'the', 'United', 'States', 'have', 'been', 'fraught', 'with', 'suspicion', '.']"
8599,Because of the number of people involved .,"['Because', 'of', 'the', 'number', 'of', 'people', 'involved', '.']"
8600,"Wang Songqiang , director of Zhengzhou Center for Speehead Control , introduced that most of these personnel occurred inside the sixth people's hospital in Zhengzhou , involving cleaning personnel , medical personnel , and inpatient patients .","['Wang', 'Songqiang', ',', 'director', 'of', 'Zhengzhou', 'Center', 'for', 'Speehead', 'Control', ',', 'introduced', 'that', 'most', 'of', 'these', 'personnel', 'occurred', 'inside', 'the', 'sixth', ""people's"", 'hospital', 'in', 'Zhengzhou', ',', 'involving', 'cleaning', 'personnel', ',', 'medical', 'personnel', ',', 'and', 'inpatient', 'patients', '.']"
8601,"Among them , 28 cases were newly diagnosed in Nanjing as light and 3 were ordinary .","['Among', 'them', ',', '28', 'cases', 'were', 'newly', 'diagnosed', 'in', 'Nanjing', 'as', 'light', 'and', '3', 'were', 'ordinary', '.']"
8602,"Hubei Jingmen added one new case of diagnosis , affecting the 220 billion lithium - electric giant .","['Hubei', 'Jingmen', 'added', 'one', 'new', 'case', 'of', 'diagnosis', ',', 'affecting', 'the', '220', 'billion', 'lithium', '-', 'electric', 'giant', '.']"
8603,"Kuala Lumpur , August 26 ( ZXS ) Malaysia has newly diagnosed 24 thousand new deaths each day ( Reporter Chen Yue ) The Ministry of Health of Malaysia reported on the 26th that as of 12 : 00h , there had been 24599 new cases of new crowned pneumonia in the country in the past 24 hours , a record high .","['Kuala', 'Lumpur', ',', 'August', '26', '(', 'ZXS', ')', 'Malaysia', 'has', 'newly', 'diagnosed', '24', 'thousand', 'new', 'deaths', 'each', 'day', '(', 'Reporter', 'Chen', 'Yue', ')', 'The', 'Ministry', 'of', 'Health', 'of', 'Malaysia', 'reported', 'on', 'the', '26th', 'that', 'as', 'of', '12', ':', '00h', ',', 'there', 'had', 'been', '24599', 'new', 'cases', 'of', 'new', 'crowned', 'pneumonia', 'in', 'the', 'country', 'in', 'the', 'past', '24', 'hours', ',', 'a', 'record', 'high', '.']"
8604,"As of September 28 , 24 , there were no related cases in other provinces , municipalities , or autonomous regions of the country .","['As', 'of', 'September', '28', ',', '24', ',', 'there', 'were', 'no', 'related', 'cases', 'in', 'other', 'provinces', ',', 'municipalities', ',', 'or', 'autonomous', 'regions', 'of', 'the', 'country', '.']"
8605,"The Macao Cultural Bureau said that it would closely monitor the situation of the epidemic , actively cooperate with the relevant guidelines issued by the health department , and make appropriate arrangements in due course .","['The', 'Macao', 'Cultural', 'Bureau', 'said', 'that', 'it', 'would', 'closely', 'monitor', 'the', 'situation', 'of', 'the', 'epidemic', ',', 'actively', 'cooperate', 'with', 'the', 'relevant', 'guidelines', 'issued', 'by', 'the', 'health', 'department', ',', 'and', 'make', 'appropriate', 'arrangements', 'in', 'due', 'course', '.']"
8606,"Jieshan Town , Jieshan Town , Ganghua District , Zhaocheng District , Dongqiu Natural Village , and Dingfu Natural Village are designated closed areas , and "" area closure , lack of access to homes , and service to the door "" are strictly enforced .","['Jieshan', 'Town', ',', 'Jieshan', 'Town', ',', 'Ganghua', 'District', ',', 'Zhaocheng', 'District', ',', 'Dongqiu', 'Natural', 'Village', ',', 'and', 'Dingfu', 'Natural', 'Village', 'are', 'designated', 'closed', 'areas', ',', 'and', '""', 'area', 'closure', ',', 'lack', 'of', 'access', 'to', 'homes', ',', 'and', 'service', 'to', 'the', 'door', '""', 'are', 'strictly', 'enforced', '.']"
8607,"In accordance with the measures and requirements of Beijing's epidemic prevention and control measures , the cell needs to be closed and managed for a period of 21 days .","['In', 'accordance', 'with', 'the', 'measures', 'and', 'requirements', 'of', ""Beijing's"", 'epidemic', 'prevention', 'and', 'control', 'measures', ',', 'the', 'cell', 'needs', 'to', 'be', 'closed', 'and', 'managed', 'for', 'a', 'period', 'of', '21', 'days', '.']"
8608,"For the upcoming holiday , the Greek police have developed a plan to provide special control over churches , bars , alleys and ports over a three - day holiday period to prevent the spread of the virus to the most populated islands .","['For', 'the', 'upcoming', 'holiday', ',', 'the', 'Greek', 'police', 'have', 'developed', 'a', 'plan', 'to', 'provide', 'special', 'control', 'over', 'churches', ',', 'bars', ',', 'alleys', 'and', 'ports', 'over', 'a', 'three', '-', 'day', 'holiday', 'period', 'to', 'prevent', 'the', 'spread', 'of', 'the', 'virus', 'to', 'the', 'most', 'populated', 'islands', '.']"
8609,"On the same day , 17 new cases were cured and discharged , 484 people were in close contact with the medical observation , and 1 case of serious illness was reduced from the previous day .","['On', 'the', 'same', 'day', ',', '17', 'new', 'cases', 'were', 'cured', 'and', 'discharged', ',', '484', 'people', 'were', 'in', 'close', 'contact', 'with', 'the', 'medical', 'observation', ',', 'and', '1', 'case', 'of', 'serious', 'illness', 'was', 'reduced', 'from', 'the', 'previous', 'day', '.']"
8610,"The preventive zone requires unnecessary absence of travel , and the "" two fronts "" to and from the destination must be certified by a 48-hour effective nuclear acid test ; strictly implement social control measures such as closed business premises closed , bus restrictions on passengers , supermarket and farmers market restrictions on flow , and restaurant premises prohibiting eating .","['The', 'preventive', 'zone', 'requires', 'unnecessary', 'absence', 'of', 'travel', ',', 'and', 'the', '""', 'two', 'fronts', '""', 'to', 'and', 'from', 'the', 'destination', 'must', 'be', 'certified', 'by', 'a', '48-hour', 'effective', 'nuclear', 'acid', 'test', ';', 'strictly', 'implement', 'social', 'control', 'measures', 'such', 'as', 'closed', 'business', 'premises', 'closed', ',', 'bus', 'restrictions', 'on', 'passengers', ',', 'supermarket', 'and', 'farmers', 'market', 'restrictions', 'on', 'flow', ',', 'and', 'restaurant', 'premises', 'prohibiting', 'eating', '.']"
8611,The nucleic acid tests were all negative during the 14-day residential isolation period from August 18 to September 1 in Bayan County .,"['The', 'nucleic', 'acid', 'tests', 'were', 'all', 'negative', 'during', 'the', '14-day', 'residential', 'isolation', 'period', 'from', 'August', '18', 'to', 'September', '1', 'in', 'Bayan', 'County', '.']"
8612,"Seven countries and regions , including Poland , are 25 and 36 wild pigs , Germany 22 wild pigs , Russia 2 wild pigs and 24 domestic pigs , Latvia 4 wild pigs , Romania 8 wild pigs and 21 domestic pigs , Haiti 1 domestic pig and Dominica 32 African pigs .","['Seven', 'countries', 'and', 'regions', ',', 'including', 'Poland', ',', 'are', '25', 'and', '36', 'wild', 'pigs', ',', 'Germany', '22', 'wild', 'pigs', ',', 'Russia', '2', 'wild', 'pigs', 'and', '24', 'domestic', 'pigs', ',', 'Latvia', '4', 'wild', 'pigs', ',', 'Romania', '8', 'wild', 'pigs', 'and', '21', 'domestic', 'pigs', ',', 'Haiti', '1', 'domestic', 'pig', 'and', 'Dominica', '32', 'African', 'pigs', '.']"
8613,"Zhengzhou , August 9 ( Xinhua ) From a press conference of the Joint Command for Emergency Management of the New Guan Pneumonia in Zhengzhou , this reporter learned that as of 18 : 30 on August 9 , three new cases of asymptomatic infections were added to Zhengzhou and 35 cases of original asymptomatic infections were confirmed .","['Zhengzhou', ',', 'August', '9', '(', 'Xinhua', ')', 'From', 'a', 'press', 'conference', 'of', 'the', 'Joint', 'Command', 'for', 'Emergency', 'Management', 'of', 'the', 'New', 'Guan', 'Pneumonia', 'in', 'Zhengzhou', ',', 'this', 'reporter', 'learned', 'that', 'as', 'of', '18', ':', '30', 'on', 'August', '9', ',', 'three', 'new', 'cases', 'of', 'asymptomatic', 'infections', 'were', 'added', 'to', 'Zhengzhou', 'and', '35', 'cases', 'of', 'original', 'asymptomatic', 'infections', 'were', 'confirmed', '.']"
8614,"This has made the "" chess and card room "" a steeped "" storm eye "" for the current round of the Yangzhou epidemic .","['This', 'has', 'made', 'the', '""', 'chess', 'and', 'card', 'room', '""', 'a', 'steeped', '""', 'storm', 'eye', '""', 'for', 'the', 'current', 'round', 'of', 'the', 'Yangzhou', 'epidemic', '.']"
8615,""" In this way , we can make a basic judgment on areas where no cases have been detected during multiple rounds of screening .","['""', 'In', 'this', 'way', ',', 'we', 'can', 'make', 'a', 'basic', 'judgment', 'on', 'areas', 'where', 'no', 'cases', 'have', 'been', 'detected', 'during', 'multiple', 'rounds', 'of', 'screening', '.']"
8616,"With 28 articles and about 80 leaflets , the document establishes by law the use of the mask , the safety distance or the affores and maintains the limitation of persons by alert levels .","['With', '28', 'articles', 'and', 'about', '80', 'leaflets', ',', 'the', 'document', 'establishes', 'by', 'law', 'the', 'use', 'of', 'the', 'mask', ',', 'the', 'safety', 'distance', 'or', 'the', 'affores', 'and', 'maintains', 'the', 'limitation', 'of', 'persons', 'by', 'alert', 'levels', '.']"
8617,These patients are discharged after 14 days of rehabilitation and three nucleic acid tests ( all of which are negative ) and are judged to be eligible .,"['These', 'patients', 'are', 'discharged', 'after', '14', 'days', 'of', 'rehabilitation', 'and', 'three', 'nucleic', 'acid', 'tests', '(', 'all', 'of', 'which', 'are', 'negative', ')', 'and', 'are', 'judged', 'to', 'be', 'eligible', '.']"
8618,"After careful treatment by health care personnel , experts assessed that 45 confirmed patients had reached the discharge standard and were transferred to a designated hospital for rehabilitation , with a cumulative discharge of 377 cases .","['After', 'careful', 'treatment', 'by', 'health', 'care', 'personnel', ',', 'experts', 'assessed', 'that', '45', 'confirmed', 'patients', 'had', 'reached', 'the', 'discharge', 'standard', 'and', 'were', 'transferred', 'to', 'a', 'designated', 'hospital', 'for', 'rehabilitation', ',', 'with', 'a', 'cumulative', 'discharge', 'of', '377', 'cases', '.']"
8619,"After being cured and discharged , he arrived in Qingdao on August 20 after being released from central isolation .","['After', 'being', 'cured', 'and', 'discharged', ',', 'he', 'arrived', 'in', 'Qingdao', 'on', 'August', '20', 'after', 'being', 'released', 'from', 'central', 'isolation', '.']"
8620,"First Death Related to Hurricane Ida Reported in Louisiana MOSCOW ( Sputnik ) - The first death caused by Hurricane Ida has occurred in the US state of Louisiana , the Ascension Parish Sheriff's Office ( APSO ) informs .","['First', 'Death', 'Related', 'to', 'Hurricane', 'Ida', 'Reported', 'in', 'Louisiana', 'MOSCOW', '(', 'Sputnik', ')', '-', 'The', 'first', 'death', 'caused', 'by', 'Hurricane', 'Ida', 'has', 'occurred', 'in', 'the', 'US', 'state', 'of', 'Louisiana', ',', 'the', 'Ascension', 'Parish', ""Sheriff's"", 'Office', '(', 'APSO', ')', 'informs', '.']"
8621,Ella took to her Instagram account on Tuesday to post a picture of herself holding hands with her one - year - old daughter Skye as she opened up about how she's change since becoming a mum .,"['Ella', 'took', 'to', 'her', 'Instagram', 'account', 'on', 'Tuesday', 'to', 'post', 'a', 'picture', 'of', 'herself', 'holding', 'hands', 'with', 'her', 'one', '-', 'year', '-', 'old', 'daughter', 'Skye', 'as', 'she', 'opened', 'up', 'about', 'how', ""she's"", 'change', 'since', 'becoming', 'a', 'mum', '.']"
8622,"Of these , 11973 ( 11,693 discharges and 212 deaths ) , 56 ( 53 discharges ) , and 1,535 ( 12,501 discharges and 784 deaths ) were reported in Taiwan .","['Of', 'these', ',', '11973', '(', '11,693', 'discharges', 'and', '212', 'deaths', ')', ',', '56', '(', '53', 'discharges', ')', ',', 'and', '1,535', '(', '12,501', 'discharges', 'and', '784', 'deaths', ')', 'were', 'reported', 'in', 'Taiwan', '.']"
8623,The award was awarded to them for discovering the Coronavirus ( SARS - COV-1 ) as a global cause of SARS in 2003 and an animal - to - human transmission chain to tackle MERS and COVID-19 coronaemia for humans Toxic - related infectious diseases have a significant impact .,"['The', 'award', 'was', 'awarded', 'to', 'them', 'for', 'discovering', 'the', 'Coronavirus', '(', 'SARS', '-', 'COV-1', ')', 'as', 'a', 'global', 'cause', 'of', 'SARS', 'in', '2003', 'and', 'an', 'animal', '-', 'to', '-', 'human', 'transmission', 'chain', 'to', 'tackle', 'MERS', 'and', 'COVID-19', 'coronaemia', 'for', 'humans', 'Toxic', '-', 'related', 'infectious', 'diseases', 'have', 'a', 'significant', 'impact', '.']"
8624,"From 19 : 30 on July 23 to 6 : 00 on July 24 , Vietnam reported 3991 new confirmed cases of New Crown pneumonia , including 4 imported cases from overseas and 3,987 newly diagnosed cases from mainland China .","['From', '19', ':', '30', 'on', 'July', '23', 'to', '6', ':', '00', 'on', 'July', '24', ',', 'Vietnam', 'reported', '3991', 'new', 'confirmed', 'cases', 'of', 'New', 'Crown', 'pneumonia', ',', 'including', '4', 'imported', 'cases', 'from', 'overseas', 'and', '3,987', 'newly', 'diagnosed', 'cases', 'from', 'mainland', 'China', '.']"
8625,The amount of blown flights listed above must not be used on other routes .,"['The', 'amount', 'of', 'blown', 'flights', 'listed', 'above', 'must', 'not', 'be', 'used', 'on', 'other', 'routes', '.']"
8626,"What is the "" three - pass "" needed to build a community of human health ?","['What', 'is', 'the', '""', 'three', '-', 'pass', '""', 'needed', 'to', 'build', 'a', 'community', 'of', 'human', 'health', '?']"
8627,"After returning to Yangzhou , Mr . Sun was negative in both nucleic acid tests on July 28 and 29 , and the third nucleic acid test on August 2 was weak .","['After', 'returning', 'to', 'Yangzhou', ',', 'Mr', '.', 'Sun', 'was', 'negative', 'in', 'both', 'nucleic', 'acid', 'tests', 'on', 'July', '28', 'and', '29', ',', 'and', 'the', 'third', 'nucleic', 'acid', 'test', 'on', 'August', '2', 'was', 'weak', '.']"
8628,"First , enhance personal protection awareness .","['First', ',', 'enhance', 'personal', 'protection', 'awareness', '.']"
8629,", transited to the central isolation point for quarantine medical observation in accordance with closed - loop management requirements .","[',', 'transited', 'to', 'the', 'central', 'isolation', 'point', 'for', 'quarantine', 'medical', 'observation', 'in', 'accordance', 'with', 'closed', '-', 'loop', 'management', 'requirements', '.']"
8630,"Dermal anthrax lesions are found in exposed skin areas such as the face , neck , shoulder , hands and feet ; mainly in localized skin edema , rash or eczema , blisters , ulcers and scabs ; pain is not obvious , slightly itchy , no abscess formation .","['Dermal', 'anthrax', 'lesions', 'are', 'found', 'in', 'exposed', 'skin', 'areas', 'such', 'as', 'the', 'face', ',', 'neck', ',', 'shoulder', ',', 'hands', 'and', 'feet', ';', 'mainly', 'in', 'localized', 'skin', 'edema', ',', 'rash', 'or', 'eczema', ',', 'blisters', ',', 'ulcers', 'and', 'scabs', ';', 'pain', 'is', 'not', 'obvious', ',', 'slightly', 'itchy', ',', 'no', 'abscess', 'formation', '.']"
8631,1 new locally confirmed case .,"['1', 'new', 'locally', 'confirmed', 'case', '.']"
8632,"Despite the geographical distance of half a planet , relations between Vietnam and Cuba have been strong and deep for 61 years since the establishment of diplomatic relations .","['Despite', 'the', 'geographical', 'distance', 'of', 'half', 'a', 'planet', ',', 'relations', 'between', 'Vietnam', 'and', 'Cuba', 'have', 'been', 'strong', 'and', 'deep', 'for', '61', 'years', 'since', 'the', 'establishment', 'of', 'diplomatic', 'relations', '.']"
8633,"His movements are as follows : On August 1 , 15 : 30 , a family member of Li drove to East Lake Sea World Water Park ( also visited by Shim , a person with no symptoms ) and 18 : 30 to the food court in front of Wen Hua College .","['His', 'movements', 'are', 'as', 'follows', ':', 'On', 'August', '1', ',', '15', ':', '30', ',', 'a', 'family', 'member', 'of', 'Li', 'drove', 'to', 'East', 'Lake', 'Sea', 'World', 'Water', 'Park', '(', 'also', 'visited', 'by', 'Shim', ',', 'a', 'person', 'with', 'no', 'symptoms', ')', 'and', '18', ':', '30', 'to', 'the', 'food', 'court', 'in', 'front', 'of', 'Wen', 'Hua', 'College', '.']"
8634,The median incubation period for 526-positive cases was within five days in the seventh round of large - scale nucleic acid screening in Yangzhou .,"['The', 'median', 'incubation', 'period', 'for', '526-positive', 'cases', 'was', 'within', 'five', 'days', 'in', 'the', 'seventh', 'round', 'of', 'large', '-', 'scale', 'nucleic', 'acid', 'screening', 'in', 'Yangzhou', '.']"
